name,reg,city,dep,ast,url
BREWERY CREDIT UNION,NCUA,Milwaukee,43459,58139,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_562290
ATHENS AREA CREDIT UNION,NCUA,Athens,42683,49521,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_1227701
FIRST CHOICE CREDIT UNION,NCUA,Marshfield,41769,50050,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_690595
BAY SHORE CREDIT UNION,NCUA,Marinette,39000,48366,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_186593
IRON COUNTY COMMUNITY CREDIT UNION,NCUA,Hurley,38570,47960,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_912998
TRI-COUNTY CREDIT UNION,NCUA,Marinette,38078,43002,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_188690
MARATHON COUNTY EMPLOYEES CREDIT UNION,NCUA,Wausau,38025,46109,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_750695
COUNTY - CITY CREDIT UNION,NCUA,Jefferson,37313,42504,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_595494
WEA CREDIT UNION,NCUA,Madison,36864,42078,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_931494
GOLDEN RULE COMMUNITY CREDIT UNION,NCUA,Ripon,36537,41893,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_151292
RIPPLE CREDIT UNION,NCUA,Oshkosh,33103,38687,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_605692
TEACHERS CREDIT UNION,NCUA,Beloit,32972,37588,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_593397
MEADOWLAND CREDIT UNION,NCUA,Sheboygan Falls,32693,35628,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_957092
MCU FINANCIAL CENTER CREDIT UNION,NCUA,Racine,27347,30744,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_44992
RACINE MUNICIPAL EMPLOYEES CREDIT UNION,NCUA,Racine,22210,25786,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_726391
OSHKOSH COMMUNITY CREDIT UNION,NCUA,Oshkosh,18046,20421,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_996297
DAIRYLAND POWER CREDIT UNION,NCUA,La Crosse,17089,20594,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_959498
HOLY FAMILY MEMORIAL CREDIT UNION,NCUA,Manitowoc,17007,19215,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_980894
M.E. EMPLOYEES CREDIT UNION,NCUA,Wausau,16431,18407,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_687193
WISCONSIN MEDICAL CREDIT UNION,NCUA,Green Bay,13189,15157,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_842394
LAKEWOOD CREDIT UNION,NCUA,Rib Lake,13114,14938,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_241698
PUBLIC SERVICE CREDIT UNION,NCUA,Wausau,10467,13154,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_848695
SERVICE CREDIT UNION,NCUA,Green Bay,10125,13159,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_194691
BRANTWOOD CREDIT UNION,NCUA,Brantwood,6526,7179,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_814195
COMPASSIONATE CARE CREDIT UNION,NCUA,Fond Du Lac,6064,6822,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_615897
