name,reg,city,dep,ast,url
NEKOOSA PORT EDWARDS STATE BANK,FDIC,Nekoosa,241762,283680,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_791942
THE FIRST NATIONAL BANK OF BANGOR,OCC,Bangor,223904,359371,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_627854
BANK OF DEERFIELD,FDIC,Deerfield,223733,261522,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_588245
ERGO BANK,FDIC,Markesan,221684,263059,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_599643
EAST WISCONSIN SAVINGS BANK,FDIC,Kaukauna,219780,262951,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_35879
PARTNERS BANK OF WISCONSIN,FDIC,Marshfield,218216,286808,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_114149
FIRST FEDERAL BANK OF WISCONSIN,OCC,Waukesha,211664,278732,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_331076
SECURITY BANK,FDIC,New Auburn,204562,241081,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_20053
CLEVELAND STATE BANK,FDIC,Cleveland,203884,239576,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_48440
ALLIANCE BANK,FDIC,Mondovi,202592,254060,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_21658
PILLAR BANK,FED,Baldwin,194972,266827,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_143952
CITIZENS STATE BANK,FDIC,Cadott,194657,242606,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_149150
COMMUNITY BANK OF CAMERON,FDIC,Cameron,193214,221020,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_385350
BANK OF MILTON,FDIC,Milton,193050,222207,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_426945
CROSSBRIDGE COMMUNITY BANK,FDIC,Tomahawk,186417,215458,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_465672
FARMERS & MERCHANTS STATE BANK,FDIC,Waterloo,183746,245569,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_79145
MARATHON BANK,FDIC,Wausau,181373,248552,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_596978
THE PORTAGE COUNTY BANK,FDIC,Almond,176573,212581,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_12647
"PAPER CITY SAVINGS BANK, S.A.",FDIC,Wisconsin Rapids,174001,212977,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_102874
BADGER BANK,FDIC,Fort Atkinson,172949,208831,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_846945
GREAT NORTH BANK,FDIC,Florence,170360,221818,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_576354
BANK OF ALMA,FDIC,Alma,168499,339278,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_564052
BRISTOL MORGAN BANK,FED,Oakfield,150800,192921,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_807348
FARMERS & MERCHANTS BANK & TRUST,FDIC,Marinette,146621,173633,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_672247
FIRST COMMUNITY BANK,FDIC,Milton,146145,162747,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_742542
THE BANK OF KAUKAUNA,FDIC,Kaukauna,144249,166911,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_380944
STATE BANK OF REESEVILLE,FDIC,Reeseville,132458,157864,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_159645
GREENLEAF BANK,FDIC,Greenleaf,131580,154344,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_675248
THE PINERIES BANK,FDIC,Stevens Point,131324,149428,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_674344
WALDO STATE BANK,FDIC,Waldo,126964,153406,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_131940
BANK OF CASHTON,FDIC,Cashton,126026,144667,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_458946
RIVER FALLS STATE BANK,FDIC,River Falls,125735,141035,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_955753
BLUFF VIEW BANK,FDIC,Galesville,120393,153837,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_167453
OAKWOOD BANK,FDIC,Pigeon Falls,119470,151370,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_37051
BANNER BANKS,FDIC,Birnamwood,114920,131598,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_453147
BONDUEL STATE BANK,FDIC,Bonduel,112245,130666,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_35646
SECURITY STATE BANK,FDIC,Iron River,110077,140565,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_43052
CONSERVATION FIRST BANK,FDIC,Benton,101231,123074,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_208347
HEADWATERS STATE BANK,FDIC,Land O'lakes,100361,119616,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_224954
UNION STATE BANK,FDIC,West Salem,99001,119073,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_903754
RICHLAND COUNTY BANK,FDIC,Richland Center,95822,113602,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_331544
KEYSAVINGS BANK,FDIC,Wisconsin Rapids,95223,127080,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_208972
THE INTERNATIONAL BANK OF AMHERST,FDIC,Amherst,85674,100125,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_504647
BLACK RIVER COUNTRY BANK,FDIC,Black River Falls,85424,100734,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_603540
COMMUNITY FIRST BANK,FDIC,Rosholt,83412,101355,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_62147
SUPERIOR SAVINGS BANK,FDIC,Superior,76900,93881,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_575375
INDEPENDENCE STATE BANK,FDIC,Independence,73564,85884,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_396057
LADYSMITH FEDERAL SAVINGS AND LOAN ASSOCIATION,OCC,Ladysmith,70604,91880,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_686570
BANK OF ONTARIO,FDIC,Ontario,67996,80553,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_37341
MAYVILLE SAVINGS BANK,FDIC,Mayville,66988,77774,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_411576
"PARK BANK, NATIONAL ASSOCIATION",OCC,Holmen,62873,75444,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_518354
HUSTISFORD STATE BANK,FDIC,Hustisford,55750,78061,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_467144
NORTHWESTERN MUTUAL WEALTH MANAGEMENT,OCC,Milwaukee,50500,521260,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_3017081
HIGHLAND STATE BANK,FDIC,Highland,40899,46978,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_681249
FIRST NATIONAL BANK IN TIGERTON,OCC,Tigerton,26520,30580,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_74449
COLUMBIA SAVINGS AND LOAN ASSOCIATION,FDIC,Milwaukee,19718,21202,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_596277
THRIVENT TRUST COMPANY,OCC,Appleton,2000,15233,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_2745529
"ASSOCIATED TRUST COMPANY, NATIONAL ASSOCIATION",,Milwaukee,0,81491,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_1629903
