Rank,Institution,Type,City,HQ_State,Deposits,Assets,ibanknet_URL,Bank_website,Source,In_prior_sweep,Notes
90,The Northern Trust Company,Out-of-state bank with CA branches (SOD),Chicago,IL,2223820,173842608,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_210434,,cache 2026-06-10,Y,"Deposits = CA branch deposits only (FDIC SOD 2025, via ibanknet); Assets = total consolidated assets (FDIC, filled from assets_fill.csv 2026-03-31); City/HQ_State = FDIC legal HQ | 8 CA offices"
91,FIREFIGHTERS FIRST FEDERAL CREDIT UNION,Credit Union,Los Angeles,CA,2221334,2470349,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_475895,,cache 2026-06-10,Y,
92,AVIDBANK,Bank,San Jose,CA,2202730,2572193,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_3214059,,cache 2026-06-10,Y,
93,"EverBank, National Association",Out-of-state bank with CA branches (SOD),Jacksonville,FL,2199297,47232699,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_2735146,,cache 2026-06-10,Y,"Deposits = CA branch deposits only (FDIC SOD 2025, via ibanknet); Assets = total consolidated assets (FDIC, filled from assets_fill.csv 2026-03-31); City/HQ_State = FDIC legal HQ | 27 CA offices"
94,"EL DORADO SAVINGS BANK, F.S.B.",Savings Institution (Federal Savings Bank),Placerville,CA,2126939,2472114,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_961576,,cache 2026-06-10,Y,
95,COAST CENTRAL CREDIT UNION,Credit Union,Eureka,CA,2060772,2322103,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_657897,,cache 2026-06-10,Y,
96,F & A FEDERAL CREDIT UNION,Credit Union,Monterey Park,CA,2052654,3056610,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_304070,,cache 2026-06-10,Y,
97,LBS FINANCIAL CREDIT UNION,Credit Union,Long Beach,CA,1897558,2191341,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_935072,,cache 2026-06-10,Y,
98,MONTECITO BANK & TRUST,Bank,Santa Barbara,CA,1793788,2036398,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_514066,,cache 2026-06-10,Y,
99,FINANCIAL PARTNERS CREDIT UNION,Credit Union,Downey,CA,1787836,2247379,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_1013379,,cache 2026-06-10,Y,
100,OAK VALLEY COMMUNITY BANK,Bank,Oakdale,CA,1781504,2009991,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_1864197,,cache 2026-06-10,Y,
101,PLUMAS BANK,Bank,Quincy,CA,1778694,2199524,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_670467,,cache 2026-06-10,Y,
102,MERIWEST CREDIT UNION,Credit Union,San Jose,CA,1753530,2163597,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_537681,,cache 2026-06-10,Y,
103,FIRST ENTERTAINMENT CREDIT UNION,Credit Union,Hollywood,CA,1713776,2122096,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_425489,,cache 2026-06-10,Y,
104,Valley National Bank,Out-of-state bank with CA branches (SOD),Passaic,NJ,1697582,64388074,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_229801,,cache 2026-06-10,Y,"Deposits = CA branch deposits only (FDIC SOD 2025, via ibanknet); Assets = total consolidated assets (FDIC, filled from assets_fill.csv 2026-03-31); City/HQ_State = FDIC legal HQ | 3 CA offices"
105,FIRST NORTHERN BANK OF DIXON,Bank,Dixon,CA,1695551,1924057,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_783161,,cache 2026-06-10,Y,
106,BAY FEDERAL CREDIT UNION,Credit Union,Capitola,CA,1693650,1892475,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_280688,,cache 2026-06-10,Y,
107,COMMONWEALTH BUSINESS BANK,Bank,Los Angeles,CA,1686692,1990854,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_3337097,,cache 2026-06-10,Y,
108,MISSION BANK,Bank,Bakersfield,CA,1684433,1919385,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_2736714,,cache 2026-06-10,Y,
109,BENEFICIAL STATE BANK,Bank,Oakland,CA,1655342,1973803,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_3608751,,cache 2026-06-10,Y,
110,MONTERRA CREDIT UNION,Credit Union,Redwood City,CA,1654172,1920135,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_996091,,cache 2026-06-10,Y,
111,CALTECH EMPLOYEES FEDERAL CREDIT UNION,Credit Union,La Canada,CA,1611118,2176332,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_39082,,cache 2026-06-10,Y,
112,NORTHROP GRUMMAN FEDERAL CREDIT UNION,Credit Union,Gardena,CA,1492015,1653498,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_619194,,cache 2026-06-10,Y,
113,COASTHILLS FEDERAL CREDIT UNION,Credit Union,Santa Maria,CA,1489558,1765233,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_127587,,cache 2026-06-10,Y,
114,SAN FRANCISCO FIRE CREDIT UNION,Credit Union,San Francisco,CA,1454032,1604300,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_770497,,cache 2026-06-10,Y,
