Rank,Institution,Type,City,HQ_State,Deposits,Assets,ibanknet_URL,Bank_website,Source,In_prior_sweep,Notes
243,"City First Bank, National Association",Out-of-state bank with CA branches (SOD),Washington,DC,254982,1424577,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_2697963,,cache 2026-06-10,Y,"Deposits = CA branch deposits only (FDIC SOD 2025, via ibanknet); Assets = total consolidated assets (FDIC, filled from assets_fill.csv 2026-03-31); City/HQ_State = FDIC legal HQ | 2 CA offices"
244,HERITAGE COMMUNITY CREDIT UNION,Credit Union,Rancho Cordova,CA,252119,282600,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_297387,,cache 2026-06-10,Y,
245,BANK IRVINE,Bank,Irvine,CA,236001,306521,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_5788705,,cache 2026-06-10,Y,
246,LONG BEACH CITY EMPLOYEES FEDERAL CREDIT UNION,Credit Union,Signal Hill,CA,235285,279271,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_386674,,cache 2026-06-10,Y,
247,MONTEREY COUNTY BANK,Bank,Monterey,CA,219207,297799,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_297761,,cache 2026-06-10,Y,
248,SUMMIT BANK,Bank,Oakland,CA,211474,270191,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_351560,,cache 2026-06-10,Y,
249,"Sunflower Bank, National Association",Out-of-state bank with CA branches (SOD),Dallas,TX,209727,8553297,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_474759,,cache 2026-06-10,Y,"Deposits = CA branch deposits only (FDIC SOD 2025, via ibanknet); Assets = total consolidated assets (FDIC, filled from assets_fill.csv 2026-03-31); City/HQ_State = FDIC legal HQ | 2 CA offices"
250,CENTRAL STATE CREDIT UNION,Credit Union,Stockton,CA,208593,255165,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_82499,,cache 2026-06-10,Y,
251,MISSION NATIONAL BANK,Bank,San Francisco,CA,206588,249156,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_519360,,cache 2026-06-10,Y,
252,CORAZO CREDIT UNION,Credit Union,El Centro,CA,206427,241842,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_222875,,cache 2026-06-10,Y,
253,"GATEWAY BANK, F.S.B.",Savings Institution (Federal Savings Bank),Oakland,CA,202316,286530,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_1493319,,cache 2026-06-10,Y,
254,SRI FEDERAL CREDIT UNION,Credit Union,Menlo Park,CA,201855,242087,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_702386,,cache 2026-06-10,Y,
255,CHAFFEY FEDERAL CREDIT UNION,Credit Union,Upland,CA,201756,229064,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_622185,,cache 2026-06-10,Y,
256,CLEARPATH FEDERAL CREDIT UNION,Credit Union,Burbank,CA,200222,224391,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_80383,,cache 2026-06-10,Y,
257,F3 CREDIT UNION,Credit Union,San Jose,CA,199702,239383,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_817691,,cache 2026-06-10,Y,
258,METROPOLITAN BANK,Bank,Oakland,CA,196224,231773,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_534466,,cache 2026-06-10,Y,
259,HOME BANK OF CALIFORNIA,Bank,San Diego,CA,193199,254901,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_118660,,cache 2026-06-10,Y,
260,ALTA VISTA CREDIT UNION,Credit Union,Redlands,CA,191615,211726,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_7296,,cache 2026-06-10,Y,
261,NEIGHBORHOOD NATIONAL BANK,Bank,El Cajon,CA,187264,230154,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_2333140,,cache 2026-06-10,Y,
262,MERCO CREDIT UNION,Credit Union,Merced,CA,179941,207012,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_931597,,cache 2026-06-10,Y,
263,PRIORITY ONE CREDIT UNION,Credit Union,South Pasadena,CA,179056,205737,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_605599,,cache 2026-06-10,Y,
264,FIRST FEDERAL SAVINGS AND LOAN ASSOCIATION OF SAN RAFAEL,Savings Institution (Federal Savings Bank),San Rafael,CA,176372,219992,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_229070,,cache 2026-06-10,Y,
265,TIB National Association,Out-of-state bank with CA branches (SOD),Farmers Branch,TX,174070,2999669,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_529958,,cache 2026-06-10,Y,"Deposits = CA branch deposits only (FDIC SOD 2025, via ibanknet); Assets = total consolidated assets (FDIC, filled from assets_fill.csv 2026-03-31); City/HQ_State = FDIC legal HQ | 1 CA offices"
266,Southwestern National Bank,Out-of-state bank with CA branches (SOD),Houston,TX,174025,1386995,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_2625724,,cache 2026-06-10,Y,"Deposits = CA branch deposits only (FDIC SOD 2025, via ibanknet); Assets = total consolidated assets (FDIC, filled from assets_fill.csv 2026-03-31); City/HQ_State = FDIC legal HQ | 3 CA offices"
267,Safra National Bank of New York,Out-of-state bank with CA branches (SOD),New York,NY,173127,12154963,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_918918,,cache 2026-06-10,Y,"Deposits = CA branch deposits only (FDIC SOD 2025, via ibanknet); Assets = total consolidated assets (FDIC, filled from assets_fill.csv 2026-03-31); City/HQ_State = FDIC legal HQ | 1 CA offices"
268,SCHOOLS FEDERAL CREDIT UNION,Credit Union,Torrance,CA,168328,192652,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_935773,,cache 2026-06-10,Y,
269,"SoFi Bank, National Association",Out-of-state bank with CA branches (SOD),Cottonwood Heights,UT,167233,49667835,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_962966,,cache 2026-06-10,Y,"Deposits = CA branch deposits only (FDIC SOD 2025, via ibanknet); Assets = total consolidated assets (FDIC, filled from assets_fill.csv 2026-03-31); City/HQ_State = FDIC legal HQ | 3 CA offices"
270,Beal Bank USA,Out-of-state bank with CA branches (SOD),Las Vegas,NV,163167,13025805,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_3284397,,cache 2026-06-10,Y,"Deposits = CA branch deposits only (FDIC SOD 2025, via ibanknet); Assets = total consolidated assets (FDIC, filled from assets_fill.csv 2026-03-31); City/HQ_State = FDIC legal HQ | 1 CA offices"
271,COMPASS COMMUNITY CREDIT UNION,Credit Union,Eureka,CA,159219,180859,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_755999,,cache 2026-06-10,Y,
272,UNITED PACIFIC BANK,Bank,City Of Industry,CA,152984,187114,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_609467,,cache 2026-06-10,Y,
273,CAMINO FEDERAL CREDIT UNION,Credit Union,Montebello,CA,150979,179244,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_209278,,cache 2026-06-10,Y,
274,SANTA CRUZ COMMUNITY CREDIT UNION,Credit Union,Santa Cruz,CA,150260,174346,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_162494,,cache 2026-06-10,Y,
275,VIDA FEDERAL CREDIT UNION,Credit Union,Ontario,CA,148667,172659,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_6486,,cache 2026-06-10,Y,
276,TORRANCE COMMUNITY FEDERAL CREDIT UNION,Credit Union,Torrance,CA,147984,160035,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_497280,,cache 2026-06-10,Y,
277,SOUTH BAY CREDIT UNION,Credit Union,Redondo Beach,CA,146169,164333,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_810599,,cache 2026-06-10,Y,
278,LONG BEACH FIREMEN S CREDIT UNION,Credit Union,Long Beach,CA,145634,204273,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_423793,,cache 2026-06-10,Y,
279,SAN JOAQUIN POWER EMPLOYEES CREDIT UNION,Credit Union,Fresno,CA,145080,173280,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_981891,,cache 2026-06-10,Y,
280,TULARE COUNTY FEDERAL CREDIT UNION,Credit Union,Tulare,CA,142040,156588,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_613875,,cache 2026-06-10,Y,
281,MISSION CITY FEDERAL CREDIT UNION,Credit Union,Santa Clara,CA,141029,164299,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_694986,,cache 2026-06-10,Y,
282,SAN DIEGO FIREFIGHTERS FEDERAL CREDIT UNION,Credit Union,San Diego,CA,140134,151718,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_231699,,cache 2026-06-10,Y,
283,BEACH CITIES COMMERCIAL BANK,Bank,Irvine,CA,139564,182473,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_5805424,,cache 2026-06-10,Y,
284,KINGS FEDERAL CREDIT UNION,Credit Union,Hanford,CA,136536,162876,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_852487,,cache 2026-06-10,Y,
285,SISKIYOU CREDIT UNION,Credit Union,Yreka,CA,134011,144716,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_961192,,cache 2026-06-10,Y,
286,EAST COUNTY SCHOOLS FEDERAL CREDIT UNION,Credit Union,El Cajon,CA,132714,147542,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_639688,,cache 2026-06-10,Y,
287,E-CENTRAL CREDIT UNION,Credit Union,Pasadena,CA,132287,174544,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_840493,,cache 2026-06-10,Y,
288,"BANK OF WHITTIER, NATIONAL ASSOCIATION",Bank,Whittier,CA,131032,158847,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_209362,,cache 2026-06-10,Y,
289,"BEACON BUSINESS BANK, NATIONAL ASSOCIATION",Bank,San Francisco,CA,128050,167555,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_403067,,cache 2026-06-10,Y,
290,CALIFORNIA LITHUANIAN CREDIT UNION,Credit Union,Santa Monica,CA,126196,157864,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_1002690,,cache 2026-06-10,Y,
291,ICON BUSINESS BANK,Bank,Riverside,CA,124737,156656,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_5805228,,cache 2026-06-10,Y,
292,INTERFAITH FEDERAL CREDIT UNION,Credit Union,Montclair,CA,119195,135352,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_827476,,cache 2026-06-10,Y,
293,Wallis Bank,Out-of-state bank with CA branches (SOD),Wallis,TX,108598,1398702,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_283867,,cache 2026-06-10,Y,"Deposits = CA branch deposits only (FDIC SOD 2025, via ibanknet); Assets = total consolidated assets (FDIC, filled from assets_fill.csv 2026-03-31); City/HQ_State = FDIC legal HQ | 2 CA offices"
294,LA LOMA FEDERAL CREDIT UNION,Credit Union,Loma Linda,CA,108257,114333,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_789387,,cache 2026-06-10,Y,
295,THINKWISE FEDERAL CREDIT UNION,Credit Union,San Bernardino,CA,107843,121225,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_78287,,cache 2026-06-10,Y,
296,SMW 104 FEDERAL CREDIT UNION,Credit Union,Livermore,CA,101569,116776,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_931289,,cache 2026-06-10,Y,
297,RANCHO FEDERAL CREDIT UNION,Credit Union,Downey,CA,101228,110306,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_650272,,cache 2026-06-10,Y,
298,CALIFORNIA BUSINESS BANK,Bank,Irvine,CA,100377,122227,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_3390337,,cache 2026-06-10,Y,
299,LEGACY BANK,Bank,Murrieta,CA,99856,111488,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_5755510,,cache 2026-06-10,Y,
300,KAIPERM FEDERAL CREDIT UNION,Credit Union,Walnut Creek,CA,99122,108993,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_250083,,cache 2026-06-10,Y,
301,FIRST CALIFORNIA FEDERAL CREDIT UNION,Credit Union,Fresno,CA,98476,109872,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_314798,,cache 2026-06-10,Y,
302,SANTA ANA FEDERAL CREDIT UNION,Credit Union,Santa Ana,CA,96984,112516,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_315898,,cache 2026-06-10,Y,
303,UNITED LOCAL CREDIT UNION,Credit Union,Fresno,CA,96434,121096,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_445991,,cache 2026-06-10,Y,
304,LASSEN COUNTY FEDERAL CREDIT UNION,Credit Union,Susanville,CA,94778,109310,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_256281,,cache 2026-06-10,Y,
305,MARIN COUNTY FEDERAL CREDIT UNION,Credit Union,San Rafael,CA,90246,102202,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_472483,,cache 2026-06-10,Y,
306,SEA AIR FEDERAL CREDIT UNION,Credit Union,Seal Beach,CA,90009,118186,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_93981,,cache 2026-06-10,Y,
307,GLENDALE FEDERAL CREDIT UNION,Credit Union,Glendale,CA,89561,102411,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_565581,,cache 2026-06-10,Y,
308,UNION YES FEDERAL CREDIT UNION,Credit Union,Orange,CA,88178,96921,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_757199,,cache 2026-06-10,Y,
309,EASTERN INTERNATIONAL BANK,Bank,Los Angeles,CA,86621,124212,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_206772,,cache 2026-06-10,Y,
310,COUNTY SCHOOLS FEDERAL CREDIT UNION,Credit Union,Ventura,CA,83564,91466,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_843083,,cache 2026-06-10,Y,
311,"CALIFORNIA INTERNATIONAL BANK, N.A.",Bank,Westminster,CA,80882,95231,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_3394380,,cache 2026-06-10,Y,
312,UPWARD CREDIT UNION,Credit Union,Burlingame,CA,80547,93701,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_614395,,cache 2026-06-10,Y,
313,MCKESSON & HEALTHCARE PROVIDERS FEDERAL CREDIT UNION,Credit Union,Martinez,CA,80193,93290,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_294386,,cache 2026-06-10,Y,
314,DESERT VALLEYS FEDERAL CREDIT UNION,Credit Union,Ridgecrest,CA,80183,89436,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_544773,,cache 2026-06-10,Y,
315,VA DESERT PACIFIC FEDERAL CREDIT UNION,Credit Union,Long Beach,CA,77765,98985,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_557577,,cache 2026-06-10,Y,
316,VISION ONE CREDIT UNION,Credit Union,Sacramento,CA,76400,91602,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_353890,,cache 2026-06-10,Y,
317,VALLEY OAK CREDIT UNION,Credit Union,Three Rivers,CA,76337,82304,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_265993,,cache 2026-06-10,Y,
318,CAL STATE L.A. FEDERAL CREDIT UNION,Credit Union,Los Angeles,CA,72351,79905,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_998581,,cache 2026-06-10,Y,
319,TUSTIN COMMUNITY BANK,Bank,Tustin,CA,71352,86207,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_1418255,,cache 2026-06-10,Y,
320,SONOMA FEDERAL CREDIT UNION,Credit Union,Santa Rosa,CA,69518,80093,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_420886,,cache 2026-06-10,Y,
321,CALIFORNIA COMMUNITY CREDIT UNION,Credit Union,Sacramento,CA,69035,79918,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_590873,,cache 2026-06-10,Y,
322,BAY CITIES CREDIT UNION,Credit Union,Hayward,CA,68941,78848,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_503190,,cache 2026-06-10,Y,
323,POSTCITY FINANCIAL CREDIT UNION,Credit Union,Long Beach,CA,68686,78185,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_448590,,cache 2026-06-10,Y,
324,NIKKEI CREDIT UNION,Credit Union,Gardena,CA,68574,80586,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_281797,,cache 2026-06-10,Y,
325,CALCOM FEDERAL CREDIT UNION,Credit Union,Long Beach,CA,68281,82609,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_962685,,cache 2026-06-10,Y,
326,UNIVERSAL CITY STUDIOS CREDIT UNION,Credit Union,Burbank,CA,65895,71840,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_2198,,cache 2026-06-10,Y,
327,POLAM FEDERAL CREDIT UNION,Credit Union,Los Angeles,CA,65887,73433,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_858984,,cache 2026-06-10,Y,Two distinct same-named federal CUs (Redwood City ibnid usa_488484 vs Los Angeles ibnid usa_858984) — not a duplicate
328,MODESTO'S FIRST FEDERAL CREDIT UNION,Credit Union,Modesto,CA,65540,72168,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_264679,,cache 2026-06-10,Y,
329,POLAM FEDERAL CREDIT UNION,Credit Union,Redwood City,CA,63342,73625,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_488484,,cache 2026-06-10,Y,Two distinct same-named federal CUs (Redwood City ibnid usa_488484 vs Los Angeles ibnid usa_858984) — not a duplicate
330,SHELL WESTERN STATES FEDERAL CREDIT UNION,Credit Union,Martinez,CA,61674,69331,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_986878,,cache 2026-06-10,Y,
331,OLIVE VIEW EMPLOYEES FEDERAL CREDIT UNION,Credit Union,Sylmar,CA,60690,75226,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_628075,,cache 2026-06-10,Y,
332,Monet Bank,Out-of-state bank with CA branches (SOD),Plano,TX,60278,3168602,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_1176881,,cache 2026-06-10,Y,"Deposits = CA branch deposits only (FDIC SOD 2025, via ibanknet); Assets = total consolidated assets (FDIC, filled from assets_fill.csv 2026-03-31); City/HQ_State = FDIC legal HQ | 2 CA offices"
333,DELTA SCHOOLS FEDERAL CREDIT UNION,Credit Union,Antioch,CA,58718,65943,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_477899,,cache 2026-06-10,Y,
334,ROLLING F CREDIT UNION,Credit Union,Turlock,CA,58241,65939,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_278498,,cache 2026-06-10,Y,
335,TECHNICOLOR FEDERAL CREDIT UNION,Credit Union,Burbank,CA,57935,84894,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_587284,,cache 2026-06-10,Y,
336,CALIFORNIA PACIFIC BANK,Bank,San Francisco,CA,57857,100924,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_50461,,cache 2026-06-10,Y,
337,ESCONDIDO FEDERAL CREDIT UNION,Credit Union,Escondido,CA,57125,66214,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_827980,,cache 2026-06-10,Y,
338,HATCH BANK,Industrial Loan Company,San Marcos,CA,57074,186754,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_733661,,cache 2026-06-10,Y,Industrial Loan Company (ILC) per ibanknet
339,SANTA BARBARA COUNTY FEDERAL CREDIT UNION,Credit Union,Santa Barbara,CA,56299,64748,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_751889,,cache 2026-06-10,Y,
340,PARISHIONERS FEDERAL CREDIT UNION,Credit Union,Torrance,CA,56292,67162,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_721480,,cache 2026-06-10,Y,
341,Bank of Guam,Out-of-state bank with CA branches (SOD),Hagatna,GU,53145,3142342,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_711472,,cache 2026-06-10,Y,"Deposits = CA branch deposits only (FDIC SOD 2025, via ibanknet); Assets = total consolidated assets (FDIC, filled from assets_fill.csv 2026-03-31); City/HQ_State = FDIC legal HQ | 1 CA offices"
342,INLAND VALLEY FEDERAL CREDIT UNION,Credit Union,Fontana,CA,49524,54344,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_630171,,cache 2026-06-10,Y,
343,MOKELUMNE FEDERAL CREDIT UNION,Credit Union,Lodi,CA,48571,58081,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_810982,,cache 2026-06-10,Y,
344,HUNTINGTON BEACH CREDIT UNION,Credit Union,Huntington Beac,CA,48390,55824,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_296791,,cache 2026-06-10,Y,
345,BOPTI FEDERAL CREDIT UNION,Credit Union,San Pedro,CA,48291,64385,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_792387,,cache 2026-06-10,Y,
346,JACOM CREDIT UNION,Credit Union,Los Angeles,CA,46656,54866,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_713391,,cache 2026-06-10,Y,
347,ASIAN PACIFIC NATIONAL BANK,Bank,San Gabriel,CA,45286,57005,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_1462986,,cache 2026-06-10,Y,
348,DOW GREAT WESTERN CREDIT UNION,Credit Union,Antioch,CA,45164,48188,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_992598,,cache 2026-06-10,Y,
349,U.P.S. EMPLOYEES FEDERAL CREDIT UNION,Credit Union,Ontario,CA,44846,48924,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_251482,,cache 2026-06-10,Y,
350,UNITED CATHOLICS FEDERAL CREDIT UNION,Credit Union,Covina,CA,44783,50035,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_83683,,cache 2026-06-10,Y,
351,L. A. ELECTRICAL WORKERS CREDIT UN. CREDIT UNION,Credit Union,Pasadena,CA,44078,53963,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_502399,,cache 2026-06-10,Y,
352,CENTRAL VALLEY FIREFIGHTERS CREDIT UNION,Credit Union,Fresno,CA,42924,49933,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_743594,,cache 2026-06-10,Y,
353,SILVERADO CREDIT UNION,Credit Union,Angwin,CA,42589,48598,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_592783,,cache 2026-06-10,Y,
354,FRESNO POLICE DEPARTMENT CREDIT UNION,Credit Union,Fresno,CA,38001,50082,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_934990,,cache 2026-06-10,Y,
355,ALTOS BANK,Bank,Los Altos,CA,37394,57456,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_5861541,,cache 2026-06-10,Y,
356,CALIFORNIA ADVENTIST FEDERAL CREDIT UNION,Credit Union,Glendale,CA,36824,46063,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_518895,,cache 2026-06-10,Y,
357,ORGANIZED LABOR CREDIT UNION,Credit Union,Modesto,CA,36457,40538,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_848891,,cache 2026-06-10,Y,
358,DIABLO VALLEY FEDERAL CREDIT UNION,Credit Union,Concord,CA,35751,40080,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_136888,,cache 2026-06-10,Y,
359,BEFIT FINANCIAL FEDERAL CREDIT UNION,Credit Union,Vacaville,CA,35108,39342,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_243580,,cache 2026-06-10,Y,
360,GOLDEN VALLEY FEDERAL CREDIT UNION,Credit Union,Manteca,CA,34733,39417,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_670784,,cache 2026-06-10,Y,
361,FOX FEDERAL CREDIT UNION,Credit Union,Los Angeles,CA,34502,38149,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_975881,,cache 2026-06-10,Y,
362,CORRECTIONS FEDERAL CREDIT UNION,Credit Union,Soledad,CA,33269,36391,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_770189,,cache 2026-06-10,Y,
363,Citizens National Bank of Texas,Out-of-state bank with CA branches (SOD),Waxahachie,TX,33108,2109952,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_552161,,cache 2026-06-10,Y,"Deposits = CA branch deposits only (FDIC SOD 2025, via ibanknet); Assets = total consolidated assets (FDIC, filled from assets_fill.csv 2026-03-31); City/HQ_State = FDIC legal HQ | 1 CA offices"
364,MEDIA CITY CREDIT UNION,Credit Union,Burbank,CA,31625,37815,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_770479,,cache 2026-06-10,Y,
365,First IC Bank,Out-of-state bank with CA branches (SOD),Doraville,GA,31528,1243029,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_2877840,,cache 2026-06-10,Y,"Deposits = CA branch deposits only (FDIC SOD 2025, via ibanknet); Assets = total consolidated assets (FDIC, filled from assets_fill.csv 2026-03-31); City/HQ_State = FDIC legal HQ | Charter inactive 2025-12-01 (acquired) | 1 CA offices"
366,UTILITY DISTRICT CREDIT UNION,Credit Union,Oakland,CA,30902,34118,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_367598,,cache 2026-06-10,Y,
367,CAPSTONE FEDERAL CREDIT UNION,Credit Union,Aliso Viejo,CA,30564,34573,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_133980,,cache 2026-06-10,Y,
368,ANTIOCH COMMUNITY FEDERAL CREDIT UNION,Credit Union,Antioch,CA,29187,34322,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_809687,,cache 2026-06-10,Y,
369,EL MONTE COMMUNITY CREDIT UNION,Credit Union,El Monte,CA,29015,32962,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_248996,,cache 2026-06-10,Y,
370,GREATER VALLEY CREDIT UNION,Credit Union,Fresno,CA,28339,33435,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_794699,,cache 2026-06-10,Y,
