Charter#,Credit_Union,HQ_City,HQ_State,Assets_$,OOS_HQ_with_SoCal_branches,Branches_LA,Branches_SB,Branches_Riv,Branches_OC,Branches_Ventura,Branches_SD,Total_6cty,Counties,Priority,v5_status,Match_note,Source_link
24292,NORTHROP GRUMMAN,Gardena,CA,1653497637,,8,0,0,0,0,2,10,LA+SD,PRIORITY-4CTY,IN_V5,charter match: NORTHROP GRUMMAN,https://ncua.gov/files/publications/analysis/call-report-data-2026-03.zip
24235,OPERATING ENGINEERS LOCAL UNION #3,Livermore,CA,1650775391,,1,0,0,1,0,0,2,LA+OC,PRIORITY-4CTY,IN_V5,charter match: OPERATING ENGINEERS LOCAL UNION #3,https://ncua.gov/files/publications/analysis/call-report-data-2026-03.zip
68458,VENTURA COUNTY,Ventura,CA,1467597235,,0,0,0,0,9,0,9,Ventura,OUTLIER,NEW_GAP,"Ventura/SD only (outlier counties, not in v5 4-cty scope)",https://ncua.gov/files/publications/analysis/call-report-data-2026-03.zip
97068,CHRISTIAN COMMUNITY,San Dimas,CA,1443573352,,1,0,0,1,0,0,2,LA+OC,PRIORITY-4CTY,IN_V5,charter match: CHRISTIAN COMMUNITY,https://ncua.gov/files/publications/analysis/call-report-data-2026-03.zip
24553,LOS ANGELES POLICE,Van Nuys,CA,1402266653,,4,0,0,0,0,0,4,LA,PRIORITY-4CTY,IN_V5,charter match: LOS ANGELES POLICE,https://ncua.gov/files/publications/analysis/call-report-data-2026-03.zip
1074,FARMERS INSURANCE,Burbank,CA,1366674086,,3,0,0,0,0,0,3,LA,PRIORITY-4CTY,IN_V5,charter match: FARMERS INSURANCE,https://ncua.gov/files/publications/analysis/call-report-data-2026-03.zip
68485,AMERICAN FIRST,Brea,CA,1310342468,,0,0,1,4,0,0,5,Riv+OC,PRIORITY-4CTY,IN_V5,charter match: AMERICAN FIRST,https://ncua.gov/files/publications/analysis/call-report-data-2026-03.zip
7835,RIZE,El Monte,CA,1309314002,,4,1,0,0,0,0,5,LA+SB,PRIORITY-4CTY,IN_V5,charter match: RIZE,https://ncua.gov/files/publications/analysis/call-report-data-2026-03.zip
68415,SOUTHLAND,Los Alamitos,CA,1292891510,,10,0,0,1,0,0,11,LA+OC,PRIORITY-4CTY,IN_V5,charter match: SOUTHLAND,https://ncua.gov/files/publications/analysis/call-report-data-2026-03.zip
1207,LOS ANGELES,Glendale,CA,1278292282,,8,0,0,0,0,0,8,LA,PRIORITY-4CTY,IN_V5,charter match: LOS ANGELES,https://ncua.gov/files/publications/analysis/call-report-data-2026-03.zip
17623,HONDA,Torrance,CA,1204192574,,2,0,0,0,0,0,2,LA,PRIORITY-4CTY,IN_V5,charter match: HONDA,https://ncua.gov/files/publications/analysis/call-report-data-2026-03.zip
64171,UNIVERSITY,Los Angeles,CA,1187569456,,3,0,0,0,0,0,3,LA,PRIORITY-4CTY,IN_V5,charter match: UNIVERSITY,https://ncua.gov/files/publications/analysis/call-report-data-2026-03.zip
151,JUSTICE,Chantilly,VA,1158996534,Y,1,0,0,0,0,0,1,LA,PRIORITY-4CTY,IN_V5,charter match: JUSTICE,https://ncua.gov/files/publications/analysis/call-report-data-2026-03.zip
60801,BLUPEAK,San Diego,CA,1128146621,,0,0,0,0,0,4,4,SD,OUTLIER,NEW_GAP,"Ventura/SD only (outlier counties, not in v5 4-cty scope)",https://ncua.gov/files/publications/analysis/call-report-data-2026-03.zip
66585,POINT BREEZE,Hunt Valley,MD,1001278466,Y,0,0,0,0,0,1,1,SD,OUTLIER,NEW_GAP,"Ventura/SD only (outlier counties, not in v5 4-cty scope)",https://ncua.gov/files/publications/analysis/call-report-data-2026-03.zip
68493,WATER AND POWER COMMUNITY,Los Angeles,CA,990764424,,5,0,0,0,0,0,5,LA,PRIORITY-4CTY,IN_V5,charter match: WATER AND POWER COMMUNITY,https://ncua.gov/files/publications/analysis/call-report-data-2026-03.zip
68503,FIRST CITY,Pasadena,CA,952449258,,7,0,0,0,0,0,7,LA,PRIORITY-4CTY,IN_V5,charter match: FIRST CITY,https://ncua.gov/files/publications/analysis/call-report-data-2026-03.zip
9230,CERTIFIED,El Monte,CA,919973315,,6,1,0,3,0,1,11,LA+SB+OC+SD,PRIORITY-4CTY,IN_V5,charter match: CERTIFIED,https://ncua.gov/files/publications/analysis/call-report-data-2026-03.zip
