Name,Type,City,State,Assets,Deposits,ibanknet_URL,v5_status,Match_note,Regulator,Source_note,Retrieval_date
SAVINGS BANK OF MENDOCINO COUNTY,Bank,Ukiah,CA,1293076,1040520,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_146663,IN_V5,exact: Savings Bank of Mendocino County,FDIC,,2026-06-10
SOUTHLAND CREDIT UNION,Credit Union,Los Alamitos,CA,1292892,1067283,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_673691,IN_V5,core match: SOUTHLAND,NCUA,,2026-06-10
LOS ANGELES FEDERAL CREDIT UNION,Credit Union,Glendale,CA,1278292,1146363,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_227272,IN_V5,exact: Los Angeles Federal Credit Union (LAFCU),NCUA,,2026-06-10
1ST UNITED CREDIT UNION,Credit Union,Pleasanton,CA,1253077,1099282,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_40190,NEW_GAP,,NCUA,,2026-06-10
SESLOC CREDIT UNION,Credit Union,San Luis Obispo,CA,1252419,1124366,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_37079,NEW_GAP,,NCUA,,2026-06-10
COMMERCE WEST BANK,Bank,Irvine,CA,1243344,1092294,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_3052813,IN_V5,exact: Commerce West Bank,FED,,2026-06-10
"PROVIDENT SAVINGS BANK, F.S.B.",Savings Institution (Federal Savings Bank),Riverside,CA,1217531,901388,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_631570,IN_V5,"exact: Provident Savings Bank, F.S.B.",OCC,,2026-06-10
UNITED SECURITY BANK,Bank,Fresno,CA,1216537,1059462,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_1162017,NEW_GAP,,FED,,2026-06-10
HONDA FEDERAL CREDIT UNION,Credit Union,Torrance,CA,1204193,1041171,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_453286,IN_V5,core match: HONDA,NCUA,,2026-06-10
UNIVERSITY CREDIT UNION,Credit Union,Los Angeles,CA,1187569,1010441,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_321899,IN_V5,exact: University Credit Union (LA),NCUA,,2026-06-10
BANK OF THE ORIENT,Bank,San Francisco,CA,1160267,996322,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_777366,IN_V5,exact: Bank of the Orient,FED,,2026-06-10
FIRST GENERAL BANK,Bank,Rowland Heights,CA,1141218,811904,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_3386264,IN_V5,exact: First General Bank,FDIC,,2026-06-10
BLUPEAK CREDIT UNION,Credit Union,San Diego,CA,1128147,1031025,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_243197,IN_V5,exact: BluPeak Credit Union (formerly USE Credit Union),NCUA,,2026-06-10
SAFE 1 CREDIT UNION,Credit Union,Bakersfield,CA,1120422,958618,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_30098,NEW_GAP,,NCUA,,2026-06-10
